Portfolio,Total Return,Annualized Return,Annualized Volatility,Sharpe Ratio,Maximum Drawdown
Optimized Strategy,0.1661412988186146,0.16757607053258505,0.17198847794722874,0.858057890237658,-0.1655845900017938
Benchmark 60% SPY / 40% BND,0.13852497032001065,0.139707222713507,0.11982525552103193,0.9990149588497709,-0.11288791050325216
