Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,206.3800048828125,206.8800048828125,204.17999267578125,205.42999267578125,169.68785095214844,121465900
2015-01-05,204.1699981689453,204.3699951171875,201.35000610351562,201.72000122070312,166.62330627441406,169632600
2015-01-06,202.08999633789062,202.72000122070312,198.86000061035156,199.82000732421875,165.05392456054688,209151400
2015-01-07,201.4199981689453,202.72000122070312,200.8800048828125,202.30999755859375,167.1106719970703,125346700
2015-01-08,204.00999450683594,206.16000366210938,203.99000549316406,205.89999389648438,170.07606506347656,147217800
2015-01-09,206.39999389648438,206.4199981689453,203.50999450683594,204.25,168.71316528320312,158567300
2015-01-12,204.41000366210938,204.60000610351562,201.9199981689453,202.64999389648438,167.39149475097656,144396100
2015-01-13,204.1199951171875,205.47999572753906,200.50999450683594,202.0800018310547,166.92066955566406,214553300
2015-01-14,199.64999389648438,201.10000610351562,198.57000732421875,200.86000061035156,165.9130096435547,192991100
2015-01-15,201.6300048828125,202.00999450683594,198.8800048828125,199.02000427246094,164.39308166503906,176613900
2015-01-16,198.77000427246094,201.82000732421875,198.5500030517578,201.6300048828125,166.54898071289062,211879600
2015-01-20,202.39999389648438,202.72000122070312,200.1699981689453,202.05999755859375,166.90423583984375,130991100
2015-01-21,201.5,203.66000366210938,200.94000244140625,203.0800018310547,167.74673461914062,122942700
2015-01-22,203.99000549316406,206.25999450683594,202.3300018310547,206.10000610351562,170.2412567138672,174356000
2015-01-23,205.7899932861328,206.10000610351562,204.80999755859375,204.97000122070312,169.30787658691406,117516800
2015-01-26,204.7100067138672,205.55999755859375,203.85000610351562,205.4499969482422,169.70436096191406,92009700
2015-01-27,202.97000122070312,204.1199951171875,201.74000549316406,202.74000549316406,167.4658966064453,134044600
2015-01-28,204.1699981689453,204.2899932861328,199.91000366210938,200.13999938964844,165.31822204589844,168514300
2015-01-29,200.3800048828125,202.3000030517578,198.67999267578125,201.99000549316406,166.846435546875,173585400
2015-01-30,200.57000732421875,202.1699981689453,199.1300048828125,199.4499969482422,164.7482452392578,197729700
2015-02-02,200.0500030517578,202.02999877929688,197.86000061035156,201.9199981689453,166.78851318359375,163107000
