TSLA_weight,BND_weight,SPY_weight,Expected_Return,Volatility,Sharpe_Ratio
0.18205877561639985,0.46212908544657766,0.35581213893702246,0.060400820552546995,0.14997124025376377,0.26939045435768527
0.657381271833743,0.17132260711444883,0.1712961210518082,0.02691888779371396,0.3923361792295947,0.017635100100378547
0.03807825678154029,0.5678448096745716,0.3940769335438881,0.06833839238625285,0.0909960386118639,0.5312142498030741
0.41686469204449644,0.012118741982948326,0.5710165659725552,0.08217407925326337,0.30117728822969736,0.20643681208074818
0.6786548843400361,0.1731109959235988,0.14823411973636516,0.023568982910504965,0.40224690533818974,0.008872617447496177
0.181157578987603,0.3005149012112804,0.5183275198011167,0.08074496787959039,0.1709973749663584,0.3552391835929715
0.32354776443628225,0.21814474801907058,0.4583074875446471,0.07012146999354123,0.23693190593231334,0.2115437758216486
0.17480425944469938,0.3660958890894621,0.45909985146583854,0.07347695786307921,0.15975431380463176,0.3347450005542746
0.31651310994496806,0.544913048424312,0.13857384163072003,0.030289107242506476,0.19831324420777974,0.0518831068676695
0.4459584572642928,0.513758448394915,0.0402830943407923,0.01516281340228666,0.2616285922203798,-0.01848875368193241
0.7205907132938222,0.20225354479929625,0.07715574190688157,0.01376172658337058,0.4196527689224655,-0.014865321710249447
0.3484815228069804,0.3546317318009484,0.2968867453920712,0.04938808269478887,0.23188310592314618,0.1267366269646615
0.28035754044975214,0.08989453670353455,0.6297479228467133,0.09250761809435502,0.23637679969551856,0.30674591663713807
0.4162719546463191,0.11541703223991515,0.4683110131137657,0.06934254510072883,0.2884773732301783,0.1710447670409077
0.028597786622496152,0.7561985798401574,0.21520363353734656,0.04617578159977148,0.06608571470237207,0.39608834855851127
0.4433659049657008,0.20859987143371847,0.3480342236005808,0.053707389953627754,0.2898396333078663,0.1162966898934209
0.32137700036931305,0.10866444745297019,0.5699585521777168,0.0841322437372086,0.24984422958828842,0.2566889130995356
0.29704731482496166,0.360035892509898,0.34291679266514025,0.05627070211878595,0.20896738462877246,0.1735711158141752
0.3717666808030997,0.5732097953138222,0.055023523883078046,0.018630530335315247,0.22149735405461252,-0.006182781146663703
0.3459291411888761,0.0798306393630632,0.5742402194480607,0.08413020336835939,0.26342987495617165,0.24344316823985546
0.26107383971629766,0.18226465890278054,0.5566615013809219,0.08378949225851826,0.21655554897949458,0.2945641086507481
0.30223499387627506,0.23800265747185712,0.4597623486518678,0.07077001073100495,0.2257003541432131,0.22494431133586068
0.13847707889007807,0.7882668477272332,0.07325607338268857,0.02601805448718083,0.09855672984801028,0.061061832068308265
0.5040673460740428,0.3944356308127906,0.10149702311316666,0.021546160125176385,0.29949778153679724,0.00516250944244947
0.003614327356873417,0.5337345230766596,0.462651149566467,0.0776688945853526,0.09048157898078725,0.6373550863607049
0.46306098178097127,0.4899062994327982,0.04703271878623042,0.015632511516323448,0.2717695661850727,-0.016070557660243425
0.26802414108306244,0.08663507466513515,0.6453407842518024,0.09472769591079366,0.2321967521027066,0.3218292040439036
0.6124248289969627,0.3251255820665762,0.06244958893646093,0.014290593862540765,0.35717237283232484,-0.015985016120324415
0.22769712823767618,0.23809491217310147,0.5342079595892224,0.08171212417863885,0.19643360983305874,0.3141627557070583
0.3192599979209789,0.4442760865907433,0.2364639154882777,0.042471250230829996,0.2094479028264173,0.1072880173426866
0.0750454560179941,0.4475615017232569,0.47739304225874896,0.07794871914298125,0.11687623366548998,0.49581268428648684
0.30737399268116156,0.42220717562542204,0.27041883169341646,0.04697791955507797,0.20652588371467137,0.13062730477091036
0.5357554507944485,0.43819216653105125,0.02605238267450022,0.011417202561599083,0.3108552392228392,-0.027610271134109042
0.13908355301401262,0.04051557139863785,0.8204008755873495,0.11944382873599295,0.19687959429410176,0.5050997239837981
0.18165687727373855,0.2938877234452725,0.5244553992809889,0.08150039871826956,0.17209507674032623,0.3573629175404438
0.17615008340518912,0.289976893253344,0.5338730233414669,0.08279873939830902,0.1707268208408652,0.3678317155383795
0.3841928143681414,0.12926296040609045,0.4865442252257682,0.07232511628985368,0.2731383592029459,0.19157000299242236
0.0848962344419666,0.48956208697844045,0.42554167857959296,0.07124844977236447,0.11346348665021751,0.4516734967818497
0.2743745994370875,0.37749484100830094,0.3481305595546116,0.05741911009544964,0.19736921161825757,0.1895893984104469
0.11527548184987252,0.5514827472570027,0.33324177089312473,0.0590402015523564,0.11451718558486058,0.3409112907636598
0.3994193437658429,0.44327272638180637,0.1573079298523507,0.03081698099021462,0.24599048495748044,0.043973168279595604
0.1438408856517063,0.29791751295501545,0.5582416013932783,0.08655364524481345,0.15886255991793596,0.4189385169116828
0.4852678346907225,0.5106079789621598,0.004124186347117636,0.009780138498669506,0.28069684224478686,-0.036408893736033114
0.44402533934161326,0.362882116817274,0.19309254384111282,0.034315713889782405,0.2743029038238879,0.0521894361678854
0.0855942605733046,0.24108649226574858,0.6733192471609469,0.10222060313783263,0.15117362275649093,0.5438819394456982
0.20919114206036646,0.3357840907387965,0.45502476720083695,0.07221450075618699,0.1764601681188832,0.295899643034509
0.15824713593720607,0.4229076245153407,0.4188452395474532,0.06880513538388794,0.14622711749843909,0.3337625484165679
0.23981342104686168,0.4736110015900521,0.2865755773630861,0.05047758827961826,0.17185810062791837,0.17734158685719337
0.30585526663727924,0.03960836798578588,0.6545363653769348,0.0950494844562041,0.2529329717269137,0.2967168888413386
0.6035980604568079,0.061813747885567254,0.3345881916576248,0.04851789802334503,0.37799210557423135,0.07544575032862581
0.7025991900602759,0.18531576816053927,0.11208504177918474,0.018523919932052584,0.4125402337257289,-0.0035780269347710837
0.2850364507974498,0.5740008637549799,0.1409626854475703,0.03127696800022645,0.1812883289003751,0.06220460008996817
0.4021410077360501,0.45567963307687215,0.14217935918707778,0.028865394698576484,0.24609459730578298,0.03602433696486581
0.42134705227567476,0.21279986249054517,0.36585308523378024,0.056417895213371455,0.27959096587957977,0.1302541915072345
0.5029633578972555,0.4253550064051951,0.07168163569754936,0.017841572233234283,0.29626706682898146,-0.007285412414777976
0.6221524126980299,0.23892433270753363,0.1389232545944365,0.023641542538904367,0.36944388855267996,0.009856821703480716
0.031144310287384618,0.45132775675503317,0.5175279329575823,0.08392916252239827,0.10677203310875853,0.5987444526534368
0.02196549463616656,0.6781102803876548,0.29992422497617865,0.056916264694947635,0.07354470406942883,0.5019568052119342
0.4271318322326862,0.11543799336842231,0.4574301743988915,0.06774401925975164,0.2931628285120392,0.1628583661239677
0.264708404049307,0.6411627556559906,0.09412884029470253,0.02586489233501308,0.16600223080679322,0.03533020192866634
0.24728688317266048,0.08227288709016342,0.6704402297371761,0.0983206643848535,0.22521741746529667,0.347755805329407
0.4886962872458921,0.1436788573369964,0.3676248554171115,0.055165020345545705,0.3171628628628829,0.11087370074833883
0.4296480453912914,0.2918923928457086,0.278459561763,0.045306598885684043,0.2748352065003204,0.09207917430933123
0.19628146327641086,0.07555995203513569,0.7281585846884535,0.10665565380998122,0.20866863750816655,0.4152787637125863
0.4808514544988035,0.338096014571531,0.18105253092966545,0.03200374950620977,0.2937729208389861,0.04086063981638695
0.17705922536369068,0.3680802575121505,0.45486051712415887,0.07289741309788905,0.16029750577695184,0.32999523505683165
0.38418747371655193,0.33775560935290855,0.27805691693053947,0.04625149717152377,0.24956505131345627,0.10518899594860187
0.07352816882029584,0.14124397813637565,0.7852278530433285,0.11648022059902007,0.16452080568566008,0.5864317293908649
0.8456715151090032,0.012825382377844476,0.14150310251315235,0.019070750478674636,0.49632297112398255,-0.001872267808239801
0.8000056013634095,0.006102915798082889,0.19389148283850766,0.026622269180102565,0.47521565811999505,0.01393529246553235
0.2899379780506783,0.36558108600084194,0.34448093594847984,0.0566219586482158,0.20531083104613954,0.1783732424714882
0.19107929160191967,0.6067825394210952,0.2021381689769852,0.04098463971431048,0.1370150283450587,0.15315575209357882
0.18901839168079748,0.43362242066335754,0.3773591876558449,0.06294316220807308,0.15620083595211487,0.27492274254689514
0.4092357155327157,0.316899745342,0.27386453912528413,0.045178819013450444,0.2630114586204646,0.0957327834517827
0.12892331160353598,0.5060822690948662,0.3649944193015978,0.06271244793142972,0.12501133122524416,0.3416686112594934
0.1515371456135033,0.6043176262605133,0.2441452281259834,0.04710378911575038,0.12134988545001678,0.22335240791730498
0.3848351630638461,0.2722776458716602,0.3428871910644938,0.05434508901163701,0.256905851483195,0.1336874532571074
0.31973176459723046,0.36697350745656193,0.31329472794620766,0.05206949884360956,0.2179423711960345,0.14714669142864253
0.16291054485698794,0.6028132895204245,0.23427616562258755,0.04562055516378971,0.12597162204671508,0.2033835458139027
0.028711768586382396,0.76215976203334,0.20912846938027757,0.04541351707158348,0.06552406637369844,0.3878501210020223
0.33477193732449145,0.33956680613647683,0.3256612565390318,0.05328680583351453,0.22752420828326936,0.14630006224248543
0.28171790534265906,0.011763618224270573,0.7065184764330703,0.10207887684755867,0.24770100656867103,0.33136271016647506
0.1815525130615005,0.40986713858994034,0.4085803483485591,0.06701117555185929,0.1564224272607523,0.30053986742893857
0.5565926550736311,0.1921292777823971,0.25127806714397183,0.039128082873842944,0.3431428425099856,0.05574379093536333
0.6363394009773832,0.2369419220984685,0.1267186769241482,0.021804628552374913,0.376356222384934,0.004795001238292676
0.25436494562436046,0.4276659811690077,0.31796907320663187,0.05408513419956132,0.18317924803867017,0.18607530364119496
0.4445805744959605,0.07578622031270568,0.4796332051913339,0.07013876395755557,0.3053361690766867,0.164208400561163
0.6005904511135919,0.08497832910386352,0.31443121978254446,0.04606288145629575,0.3742349816719406,0.06964309252934249
0.37896907584000933,0.31996468487996144,0.3010662392800291,0.04924332230132487,0.24912325225058146,0.11738495719343922
0.5182215580663577,0.26519613574560175,0.21658230618804042,0.03562902494442147,0.31817025023023954,0.049121578567171933
0.3254960385642582,0.3257985622006009,0.34870539923514104,0.05637181520817681,0.2250546076465127,0.16161328838601277
0.47413992524187515,0.2654808156407773,0.2603792591173475,0.04207140267465357,0.29780478908556035,0.07411365929482208
0.37126105990362684,0.30227703260340466,0.3264619074929685,0.05258809183674967,0.24762656881217163,0.13160175821629308
0.39321837921864816,0.4397708994397105,0.16701072134164147,0.032166182392468566,0.24345522305192502,0.04997297753547772
0.35843368116531005,0.08969068596814897,0.5518756328665408,0.0810594967002047,0.26727285733113265,0.22845378804985117
0.034421368169437916,0.4458961303263661,0.519682501504196,0.08412687252947396,0.10818194106414113,0.5927687366180008
0.3156175982865827,0.6507871844056018,0.03359521730781552,0.017179927896610166,0.1887457364619131,-0.014941116849857404
0.030609772154073525,0.6741857257036302,0.2952045021422964,0.05613676268216697,0.07556311862377192,0.478232811725143
0.0895235341754706,0.367959024905854,0.5425174409186755,0.08577631039056743,0.13252235054886666,0.4963412595546507
0.23355763527910597,0.6740808727374389,0.09236149198345513,0.02632583884721025,0.14907271011732992,0.042434586734429146
0.045993622111523184,0.4728736500826451,0.48113272780583183,0.07905243227919448,0.10635494208715458,0.5552391935938702
0.2724789145440315,0.31037856556080556,0.417142519895163,0.066091351168848,0.20461432676926533,0.22525964773142793
0.31588764077026393,0.19759420779894832,0.48651815143078775,0.07381723862749864,0.23631109220606805,0.2277389441396552
0.34358236234961387,0.5568865488773087,0.09953108877307738,0.024813743481821842,0.2097065524087983,0.02295466415583436
0.01389859178380462,0.5277737669332838,0.45832764128291154,0.07690304005438392,0.09262959854661748,0.6143073158818286
0.5444863993549897,0.3199390354701872,0.13557456517482325,0.02492306742368361,0.32531450268074075,0.015133255305605114
0.16365306167375893,0.26178592836771875,0.5745610099585223,0.08816083341234698,0.17053156858268667,0.3996962789871802
0.431851198354863,0.39897656735715425,0.16917223428798273,0.031590728582971454,0.2652081128819266,0.043704276075942544
